Speaker,Larry,larrybarry,larry@mail.com
Attendee,Connor,school,connor.burns@mail.utoronto.ca
Organizer,Bonnor,school,bonnor.burns@mail.utoronto.ca
Speaker,Nathan,coding123,nathan@mail.com
Attendee,Sal,ilovecs,sal@hotmail.com
Speaker,Daniel,password456,dantheman@hotmail.com
Attendee,Arif,bossman236,arifthegod@mail.com
Organizer,Aryan,Adot207,aryan.whatsup@mail.com
Attendee,Shahmeer,timezone478,shasha@gmail.com
Attendee,Jolie,machinelearning236,jolie@whatsup.com
Attendee,Joe,ab,ab
Attendee,Jill,ad,ad
Speaker,James,aa,aa
Organizer,Jack,ac,ac
Speaker,David,dave13,dave@mail.com
Speaker,Bill,billsmills,billsmills@gills.com
Speaker,0,0,asdas0@asdasd.com
Speaker,0,helloworld,0@mail.com
Speaker,Steve,hello,mail@mail.com
Attendee,Marvin,starvinlikemarvin,reggae@umail.com
Attendee,Marcus,king146,feelthemusic@hotmail.com
