connor.burns@mail.utoronto.ca,bonnor.burns@mail.utoronto.ca,bonnor.burns@mail.utoronto.ca~connor.burns@mail.utoronto.ca~2020-08-26 11:41~Hi;
connor.burns@mail.utoronto.ca,aa,aa~connor.burns@mail.utoronto.ca~2020-08-26 11:41~Hi;
ab,ad,ad~ab~2020-11-19 03:12~Hello There;ab~ad~2020-11-19 03:14~Oh hey;ad~ab~2020-11-19 05:17~This is a message to an Attendee;ab~ab~2020-11-19 05:20~Note to Self;
ab,aa,aa~ab~2020-11-19 05:18~This is a message to a speaker;ab~aa~2020-11-19 05:51~Hello;
nathan@mail.com,ab,ab~nathan@mail.com~2020-11-19 05:45~Hello from your speaker again;
nathan@mail.com,shasha@gmail.com,shasha@gmail.com~nathan@mail.com~2020-11-19 05:45~Hello from your speaker again;
nathan@mail.com,sal@hotmail.com,sal@hotmail.com~nathan@mail.com~2020-11-19 05:45~Hello from your speaker again;
ac,aryan.whatsup@mail.com,aryan.whatsup@mail.com~ac~2020-11-19 06:03~hello;
ac,nathan@mail.com,nathan@mail.com~ac~2020-11-19 06:03~Hello to all speakers;
ac,dantheman@hotmail.com,dantheman@hotmail.com~ac~2020-11-19 06:03~Hello to all speakers;
ac,aa,aa~ac~2020-11-19 06:03~Hello to all speakers;
ac,dave@mail.com,dave@mail.com~ac~2020-11-19 06:03~Hello to all speakers;
ac,larry@mail.com,larry@mail.com~ac~2020-11-19 06:03~Hello to all speakers;
ac,billsmills@gills.com,billsmills@gills.com~ac~2020-11-19 06:03~Hello to all speakers;
ac,connor.burns@mail.utoronto.ca,connor.burns@mail.utoronto.ca~ac~2020-11-19 06:04~Hello to all attendees;
ac,sal@hotmail.com,sal@hotmail.com~ac~2020-11-19 06:04~Hello to all attendees;
ac,arifthegod@mail.com,arifthegod@mail.com~ac~2020-11-19 06:04~Hello to all attendees;
ac,shasha@gmail.com,shasha@gmail.com~ac~2020-11-19 06:04~Hello to all attendees;
ac,jolie@whatsup.com,jolie@whatsup.com~ac~2020-11-19 06:04~Hello to all attendees;
ac,ab,ab~ac~2020-11-19 06:04~Hello to all attendees;
ac,ad,ad~ac~2020-11-19 06:04~Hello to all attendees;
